hotelID,photoID,date,photoAlbum1,photoAlbum2,url
1,f59876e0-2672-496e-a256-679f211007be,Mon May 25 2020 02:51:30 GMT-0700 (Pacific Daylight Time),All photos,Favorites,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-454.jpg
1,cad3baec-ef7b-4124-95ea-5238a1933097,Wed Jun 03 2020 23:22:19 GMT-0700 (Pacific Daylight Time),All photos,Hotel & Amenities,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-699.jpg
1,f2561a8a-a958-4d64-a4a8-1f779ed9b7a2,Tue Apr 07 2020 18:34:03 GMT-0700 (Pacific Daylight Time),All photos,Traveler,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-453.jpg
1,01600786-8ee8-4d78-a545-b54f57123e0a,Mon Apr 13 2020 01:59:56 GMT-0700 (Pacific Daylight Time),All photos,Room/Suite,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-730.jpg
1,6471a5cb-e439-4bd8-baa0-d8e107d968c6,Sat Apr 25 2020 02:17:15 GMT-0700 (Pacific Daylight Time),All photos,Bathroom,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-518.jpg
1,15ffae1c-1570-4c17-8e17-e38297e4fa0c,Tue Jun 30 2020 15:30:55 GMT-0700 (Pacific Daylight Time),All photos,Bathroom,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-615.jpg
1,d9927af3-9c4f-4c82-931a-13224bca88ac,Sun Jun 07 2020 12:09:23 GMT-0700 (Pacific Daylight Time),All photos,Favorites,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-209.jpg
1,c106ff30-c23a-407c-83fe-2724c4e949af,Thu May 07 2020 02:43:00 GMT-0700 (Pacific Daylight Time),All photos,Room/Suite,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-247.jpg
1,c4166f26-3610-4c2f-a756-acad2ae2b780,Sat Apr 11 2020 20:23:08 GMT-0700 (Pacific Daylight Time),All photos,Traveler,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-338.jpg
1,d306f61b-3fa9-4f97-94dd-c4f345ff4673,Thu Jun 25 2020 19:10:00 GMT-0700 (Pacific Daylight Time),All photos,Favorites,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-588.jpg
1,bd23b3f0-2609-4e5f-9e9a-5e1dc3f15cdb,Mon Jun 08 2020 03:35:46 GMT-0700 (Pacific Daylight Time),All photos,Dining,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-2.jpg
1,83b1cfcb-429f-4c51-af56-dc238f1c0b13,Sat Jun 27 2020 13:12:40 GMT-0700 (Pacific Daylight Time),All photos,Hotel & Amenities,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-229.jpg
1,72aeab1a-4a95-467f-a1dc-1e710846f2c4,Wed Apr 01 2020 11:49:10 GMT-0700 (Pacific Daylight Time),All photos,Dining,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-102.jpg
1,9bcb0ea4-52cf-498b-a02d-a9e888f98d41,Mon May 25 2020 23:38:37 GMT-0700 (Pacific Daylight Time),All photos,Bathroom,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-387.jpg
1,fbd15402-2899-4c22-8f2d-308011a0a5f3,Mon Apr 20 2020 11:14:59 GMT-0700 (Pacific Daylight Time),All photos,Pool & Beach,https://sdc-carousel-photos.s3-us-west-1.amazonaws.com/photos/sdc-196.jpg
